path,if2_frequency_mhz,inductor_q,budget_status,order,stage,component,gain_db,noise_figure_db,cumulative_gain_db,cumulative_nf_db,source_note
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,1,protection and 2.5 GHz LPF,PESD1V0R1BCSF + LFCN-2500+,-1.000,1.000,-1.000,1.000,loss budget
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,2,low-band LNA,GRF4001,15.400,0.750,14.400,1.750,manufacturer representative at RF >=100 MHz only
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,3,first mixer,ADL5801,-6.100,10.600,8.300,2.734,UNVERIFIED high-IF upconversion placeholder; characterize actual RF frequency and output tune
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,4,mixer output balun,2450BL15B0200001E,-1.000,1.000,7.300,2.822,loss budget
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,5,IF selector,BGS12WN6,-0.700,0.700,6.600,2.895,loss budget
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,6,2426 MHz BAW,QPQ1909,-1.200,1.200,5.400,3.048,"planning value; channel-integrated typical, not worst-band bound"
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,7,IF gain 1,GRF2013,18.500,1.300,23.900,3.259,manufacturer typical
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,8,"digital attenuation, minimum",PE4312C-Z,-1.700,1.700,22.200,3.263,loss budget
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,9,IF gain 2,GRF2013,18.500,1.300,40.700,3.267,manufacturer typical
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,10,second-mixer balun,2450BL15B0100001E,-1.000,1.000,39.700,3.267,loss budget
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,11,second mixer,LT5560,2.000,11.000,41.700,3.270,UNVERIFIED +2 dB/11 dB NF under actual R79/R80 100-ohm loading; no manufacturer guarantee
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,12,anti-alias LPF,9-pole LC,-0.500,0.500,41.200,3.270,conditional passive-loss/NF equivalent for finite-port/Q scenario; not a noise-wave model
